Product,Land,GHG,subProduct,subLand,subGHG,aProduct,aLand,aGHG
Wheat & Rye (Bread),3.9,1.6,Grains,18.3,11.4,Crops,242.5,138.4
Maize (Meal),2.9,1.7,Oils,67.5,26.4,Livestock,883.2,266.9
Barley (Beer),1.1,1.2,Fruits,8.5,6.1,,,
Oatmeal,7.6,2.5,Vegetables,4.3,3.8,,,
Rice,2.8,4.5,Meat,768.8,194.7,,,
Potatoes,0.9,0.5,Dairy,103,31.7,,,
Cassava,1.8,1.3,Seafood,11.4,40.5,,,
Cane Sugar,2,3.2,Dark Chocolate,69,46.7,,,
Beet Sugar,1.8,1.8,Coffee,21.6,28.5,,,
Other Pulses,15.6,1.8,Pulses,19.4,6.8,,,
Peas,7.5,1,Peas,7.5,1,,,
Nuts,13,0.4,Nuts ,22.1,3.7,,,
Groundnuts,9.1,3.2,Soy,4.2,4.1,,,
Soymilk,0.7,1,,,,,,
Tofu,3.5,3.2,,,,,,
Soybean Oil,10.5,6.3,,,,,,
Palm Oil,2.4,7.3,,,,,,
Sunflower Oil,17.7,3.6,,,,,,
Rapeseed Oil,10.6,3.8,,,,,,
Olive Oil,26.3,5.4,,,,,,
Tomatoes,0.8,2.1,,,,,,
Onions & Leeks,0.4,0.5,,,,,,
Root Vegetables,0.3,0.4,,,,,,
Brassicas,0.6,0.5,,,,,,
Other Vegetables,0.4,0.5,,,,,,
Citrus Fruit,0.9,0.4,,,,,,
Bananas,1.9,0.9,,,,,,
Apples,0.6,0.4,,,,,,
Berries & Grapes,2.4,1.5,,,,,,
Wine,1.8,1.8,,,,,,
Other Fruit,0.9,1.1,,,,,,
Coffee,21.6,28.5,,,,,,
Dark Chocolate,69,46.7,,,,,,
Bovine Meat (beef herd),326.2,99.5,,,,,,
Bovine Meat (dairy herd),43.2,33.3,,,,,,
Lamb & Mutton,369.8,39.7,,,,,,
Pig Meat,17.4,12.3,,,,,,
Poultry Meat,12.2,9.9,,,,,,
Milk,9,3.2,,,,,,
Cheese,87.8,23.9,,,,,,
Eggs,6.3,4.7,,,,,,
Fish (farmed),8.4,13.6,,,,,,
Crustaceans (farmed),3,26.9,,,,,,
