Product,Land,GHG,Freshwater,Eutrophying
Wheat & Rye (Bread),3.9,1.6,647.5,7.2
Maize (Meal),2.9,1.7,215.7,4.0
Barley (Beer),1.1,1.2,17.1,2.3
Oatmeal,7.6,2.5,482.4,11.2
Rice,2.8,4.5,2248.4,35.1
Grains,18.3,11.4,3611.1,59.8
Potatoes,0.9,0.5,59.1,3.5
Cassava,1.8,1.3,0.0,0.7
Cane Sugar,2.0,3.2,620.1,16.9
Beet Sugar,1.8,1.8,217.7,5.4
Other Pulses,15.6,1.8,435.7,17.1
Pulses,19.4,6.8,1273.5,39.4
Peas,7.5,1.0,396.6,7.5
Nuts,13.0,0.4,4133.8,19.2
Groundnuts,9.1,3.2,1852.3,14.1
Soymilk,0.7,1.0,27.8,1.1
Tofu,3.5,3.2,148.6,6.2
Legumes,26.3,7.8,6162.5,40.5
Soybean Oil,10.5,6.3,414.6,11.7
Palm Oil,2.4,7.3,6.4,10.7
Sunflower Oil,17.7,3.6,1007.9,50.7
Rapeseed Oil,10.6,3.8,237.7,19.2
Olive Oil,26.3,5.4,2141.8,37.3
Oils,54.6,12.8,3387.4,107.1
Tomatoes,0.8,2.1,369.8,7.5
Onions & Leeks,0.4,0.5,14.3,3.2
Root Vegetables,0.3,0.4,28.4,1.6
Brassicas,0.6,0.5,119.4,5.0
Other Vegetables,0.4,0.5,102.5,2.3
Vegetables,5.1,5.8,693.5,23.8
Citrus Fruit,0.9,0.4,82.7,2.2
Bananas,1.9,0.9,114.5,3.3
Apples,0.6,0.4,180.1,1.5
Berries & Grapes,2.4,1.5,419.6,6.1
Wine,1.8,1.8,78.9,4.6
Other Fruit,0.9,1.1,153.5,2.4
Fruit,8.5,6.1,1029.3,20.1
Coffee,21.6,28.5,25.9,110.5
Dark Chocolate,69.0,46.7,540.6,87.1
Bovine Meat (beef herd),326.2,99.5,1451.2,301.4
Bovine Meat (dairy herd),43.2,33.3,2714.3,365.3
Beef,369.5,132.8,4165.5,666.7
Lamb & Mutton,369.8,39.7,1802.8,97.1
Pig Meat,17.4,12.3,1795.8,76.4
Poultry Meat,12.2,9.9,660.0,48.7
Other Meat,399.4,61.9,4258.6,222.2
Milk,9.0,3.2,628.2,10.7
Cheese,87.8,23.9,5605.2,98.4
Eggs,6.3,4.7,577.7,21.8
Dairy,103.0,31.7,6811.1,130.8
Fish (farmed),8.4,13.6,3691.3,235.1
Crustaceans (farmed),3.0,26.9,3515.4,227.2
Seafood,11.4,40.5,7206.7,462.3
